Name	Set	ImageFile	Type	Subtypes	Rarity	Color	Cost	Inkwell	Strength	Willpower	Quest	Abilities	Identifier	Rules	Flavor	Number	Artist
Micky Maus, Wahrer Freund	1	7b52009b64fd0a2a49e6d8a939753077792b0554	Character	["Sagengestalt", "Held"]	UNCOMMON	AMBER	3	True	3	3	2	[]	1 TFC DE 12/204		Solange er da ist, werden Neuankömmlinge im Großen Illuminarium immer herzlich willkommen sein.	12	Dave Beauchene
Minnie Maus, Geliebte Prinzessin	1	bd307a3ec329e10a2cff8fb87480823da114f8f4	Character	["Prinzessin", "Traumgestalt"]	COMMON	AMBER	2	True	2	3	1	[]	1 TFC DE 13/204		Wo immer die Prinzessin hingeht, sind ihre Musketiere... nun ja, sie sind irgendwo in der Nähe, vermutlich.	13	Kendall Hale
Vaiana, Von Motunui	1	fa35e192121eabf3dabf9f5ea6abdbcbc107ac3b	Character	["Heldin", "Sagengestalt", "Prinzessin"]	RARE	AMBER	5	True	1	6	3	[]	1 TFC DE 14/204	WIR KRIEGEN DAS HIN Jedes Mal, wenn dieser Charakter erkundet, darfst du deine anderen Prinzessinnen bereit machen. Sie können in diesem Zug nicht mehr erkunden.	Ich bin Vaiana von Motunui. Du kommst jetzt auf mein Boot, segelst über das Meer und bringst das Herz nach Te Fiti zurück.	14	Nicholas Kole
Herr Smee, Loyaler Erster Maat 	1	f1abd670358e036c31296e66b3b66c382ac00812	Character	["Traumgestalt", "Verb\u00fcndeter", "Pirat"]	COMMON	AMBER	3	True	2	5	1	[]	1 TFC DE 15/204		'Smee ist eine freundliche, sanfte Seele, die lebt, um einem alten Schurken Trost und Hilfe zu spenden. Nun, wofür ist solch'' Freundlichkeit gut? – Peter Pan'	15	Kamil Murzyn / Eri Welli
Prinz Phillip, Drachenbändiger	1	1574bddb75c78a6fd2251d61e2993b5146201319	Character	["Prinz", "Sagengestalt", "Held"]	UNCOMMON	AMBER	4	False	3	3	2	[]	1 TFC DE 16/204	HELDENTUM Wenn dieser Charakter einen anderen Charakter herausfordert und dadurch verbannt wird, darfst du den herausgeforderten Charakter verbannen.	Der Weg wahrer Liebe ist oft mit vielen Gefahren versperrt. Ihr müsst sie alle alleine bestehen. – Flora	16	Philipp Kruse
Pumbaa, Freundliches Warzenschwein	1	0716d9708d321ffb6a00818614779e779925365c	Character	["Verb\u00fcndeter", "Sagengestalt"]	COMMON	AMBER	4	True	3	5	1	[]	1 TFC DE 17/204		Man muss seinen Hintern in die Vergangenheit bringen.	17	Jenna Gray
Rapunzel, Begnadete Heilerin	1	9e6a55b6b4563e652a23be9d623ca5055c356940	Character	["Heldin", "Sagengestalt", "Prinzessin"]	LEGENDARY	AMBER	4	True	1	5	2	[]	1 TFC DE 18/204	LEUCHTEND SCHÖN Wenn du diesen Charakter ausspielst, entferne bis zu 3 Schaden von einem deiner Charaktere. Ziehe 1 Karte für jeden Schaden, den du auf diese Weise entfernt hast.		18	Jochem Van Gool
Sebastian, Hofkomponist	1	b3f0c7f6bb763af1be91d9e74eabfeb199dc1f1f	Character	["Verb\u00fcndeter", "Sagengestalt"]	COMMON	AMBER	2	True	2	2	1	["Singen"]	1 TFC DE 19/204	Singen 4 (Die Kosten dieses Charakters gelten als 4 für das Singen von Liedern.)	Ich bin doch für Symphonien zuständig und nicht für hitzköpfige Teenager.	19	Isaiah Mesq
Simba, Schützender Welpe	1	91032ad7bbcb6cf72875e8e8207dcfba80173f7c	Character	["Prinz", "Sagengestalt", "Held"]	COMMON	AMBER	2	True	2	3	1	["Besch\u00fctzen"]	1 TFC DE 20/204	Beschützen (Du darfst diesen Charakter erschöpft ausspielen. Gegnerische Charaktere müssen beim Herausfordern zuerst deine Charaktere mit Beschützen wählen, wenn möglich.)	Mut gibt es in allen Größen.	20	Filipe Laurentino
Stitch, Sorgloser Surfer	1	472b07b9fcf2c2451e8781e944bf5f77cd8457c8	Character	["Held", "Traumgestalt", "Alien"]	LEGENDARY	AMBER	7	True	4	8	2	[]	1 TFC DE 21/204	OHANA Wenn du diesen Charakter ausspielst und mindestens 2 weitere Charaktere im Spiel hast, darfst du 2 Karten ziehen.	So, so. Du kommst aus dem Weltraum. Ich habe gehört, da kann man super surfen. – David	21	Marcel Berg
Stitch, Neuer Hund	1	12c6fc06c99a462375eeb3f43dfd832b08ca9e17	Character	["Held", "Sagengestalt", "Alien"]	COMMON	AMBER	1	True	2	2	1	[]	1 TFC DE 22/204		Lilo: David! Guck mal, mein neuer Hund! David: Oh … ist das wirklich ein Hund? Lilo: Uh-huh. Er war mal ein Collie und dann ist er überfahren worden.	22	Alex Accorsi
Stitch, Rockstar	1	d435a6cdd786300dff204ee7c2ef942d3e9034e2	Character	["Held", "Flutgestalt", "Alien"]	SUPER	AMBER	6	True	3	5	3	["Gestaltwandel"]	1 TFC DE 23/204	Gestaltwandel 4 (Du kannst 4 zahlen, um diesen Charakter auf einen deiner Stitch-Charaktere auszuspielen.) BEGEISTERTE FANS Jedes Mal, wenn du einen Charakter ausspielst, der 2 oder weniger kostet, darfst du jenen erschöpfen, um 1 Karte zu ziehen.	Das Beste an einem Konzert am Strand ist, dass es immer Platz für noch mehr Publikum gibt.	23	Simangaliso Sibaya
Timon, Larvendieb	1	4d134bc072212ace2df385dae143139da74ec0ef	Character	["Verb\u00fcndeter", "Sagengestalt"]	COMMON	AMBER	1	True	1	2	1	[]	1 TFC DE 24/204	SCHMECKT WIE HÜHNCHEN Wenn du diesen Charakter ausspielst, darfst du bis zu 1 Schaden von einem Charakter deiner Wahl entfernen.	Es gibt alle möglichen Leckereien auf der Welt — man muss nur wissen, wo man suchen muss.	24	Juan Diego Leon
Sei hier Gast!	1	f6e1126cedebf23e1463aee73f9df08783640400	Action	["Lied"]	UNCOMMON	AMBER	2	True				[]	1 TFC DE 25/204	(Du kannst einen Charakter, der 2 oder mehr kostet, , damit er dieses Lied kostenlos singt.) Schaue dir die obersten 4 Karten deines Decks an. Du darfst 1 Charakterkarte daraus aufdecken und auf deine Hand nehmen. Lege die restlichen Karten in beliebiger Reihenfolge unter dein Deck.		25	R. La Barbera / L. Giammichele
Halten Sie ihr Temperament im Zaum!	1	887309d048beef83ad3eabf2a79a64a389ab1c9f	Action	[]	COMMON	AMBER	1	True				[]	1 TFC DE 26/204	Gib einem Charakter deiner Wahl in diesem Zug -2.		26	Amber Kommavongsa
Hakuna Matata	1	bc33ea4e26e5e1af1408321416956113a4658763	Action	["Lied"]	COMMON	AMBER	4	True				[]	1 TFC DE 27/204	(Du kannst einen Charakter, der 4 oder mehr kostet, , damit er dieses Lied kostenlos singt.) Entferne bis zu 3 Schaden von jedem deiner Charaktere.	Diesen Spruch sag ich gern!	27	Juan Diego Leon
Heilendes Leuchten	1	0a57cb53ba59c46fc4b692527a38a87c78d84028	Action	[]	COMMON	AMBER	1	True				[]	1 TFC DE 28/204	Entferne bis zu 2 Schaden von einem Charakter deiner Wahl.	Dreh jetzt nur nicht durch! – Rapunzel	28	Philipp Kruse
Gerade Rechtzeitig	1	7719a1c782a1ba91c031a682a0a2f8658209adbf	Action	[]	RARE	AMBER	3	False				[]	1 TFC DE 29/204	Du darfst einen Charakter, der 5 oder weniger kostet, kostenlos ausspielen.	Die besten Helden erscheinen immer zum perfekten Zeitpunkt — ganz gleich, ob sie es wissen oder nicht.	29	Leonardo Giammichele
In Deiner Welt	1	22d200f8670dbdb3e253a90eee5098477c95c23d	Action	["Lied"]	RARE	AMBER	3	False				[]	1 TFC DE 30/204	(Du kannst einen Charakter, der 3 oder mehr kostet, , damit er dieses Lied kostenlos singt.) Nimm 1 Charakterkarte aus deinem Ablagestapel zurück auf deine Hand.	'In einer Welt, wo alle geh''n und nicht mehr schwimmen.'	30	Samanta Erdini
Du hast mich vergessen	1	632667547e7cd3e0466547863e1207a8c0c0c549	Action	[]	UNCOMMON	AMBER	4	True				[]	1 TFC DE 31/204	Alle gegnerischen Mitspielenden wählen je 2 Karten aus ihrer Hand und werfen sie ab.	Du bist zu etwas anderem bestimmt. – Mufasa	31	Alice Pisoni
Dingelhopper	1	cb4e5208b4cd87268b208e49452ed6e89a68e0b8	Item	[]	COMMON	AMBER	1	True				[]	1 TFC DE 32/204	HAARE STRIEGELN Entferne bis zu 1 Schaden von einem Charakter deiner Wahl.	Erfreu dich an den schönsten Frisuren der Menschheit!	32	Eri Welli
Himmelslaterne	1	b6692ea5df920cad691c20319a6fffd7a4a766b8	Item	[]	RARE	AMBER	2	False				[]	1 TFC DE 33/204	GEBURTSTAGSLICHTER weniger für den nächsten Charakter, den du in diesem Zug ausspielst.	Laternen füllen den Himmel in einer besonderen Nacht. Sie sind das Licht der Hoffnung und der Liebe.	33	Eri Welli
Ursulas Muschel-Halskette	1	f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59	Item	[]	RARE	AMBER	3	False				[]	1 TFC DE 34/204	UND JETZT SING! Jedes Mal, wenn du ein Lied ausspielst, darfst du 1 zahlen, um 1 Karte zu ziehen.	Singen ist ein schöner Zeitvertreib … wenn man die Stimme dafür hat. – Ursula	34	Jenna Gray
Anna, Thronfolgerin von Arendelle	1	972a67c48192728a34979d9a35164c1295401b71	Character	["Heldin", "Sagengestalt", "K\u00f6nigin"]	UNCOMMON	AMETHYST	4	True	2	4	2	[]	1 TFC DE 35/204	LIEBEVOLLES HERZ Wenn du diesen Charakter ausspielst und einen Elsa-Charakter im Spiel hast, wähle einen gegnerischen Charakter. Er wird zu Beginn seines nächsten Zugs nicht bereit gemacht.	Zwei Schwestern, ein Gedanke.	35	Valerio Buonfantino
Archimedes, Hochgebildeter Kauz	1	fc074d501302eb2b93e2554793fcaf50b3bf7291	Character	["Verb\u00fcndeter", "Traumgestalt"]	COMMON	AMETHYST	1	True	2	2	1	[]	1 TFC DE 36/204		Das Fliegen ist nicht etwa bloß ein simpler mechanischer Prozess. Sondern eine edle Kunst. Pure Ästhetik. Poesie der Bewegung. Doch man lernt das Fliegen nur, indem man fliegt.	36	Kendall Hale
Dr. Facilier, Agent Provocateur	1	cb7a1d775e800fd1ee4049f7dca9e041eb9ba083	Character	["Schurke", "Magier", "Flutgestalt"]	RARE	AMETHYST	7	False	4	5	3	["Gestaltwandel"]	1 TFC DE 37/204	Gestaltwandel 5 (Du kannst 5 zahlen, um diesen Charakter auf einen deiner Dr.-Facilier-Charaktere auszuspielen.) IM SCHATTENREICH Jedes Mal, wenn einer deiner anderen Charaktere durch eine Herausforderung verbannt wird, darfst du jene Karte zurück auf deine Hand nehmen.		37	Isaiah Mesq
Dr. Facilier, Scharlatan	1	5b384ce32d8cdef02bc3a139d4cac0a22bb029e8	Character	["Schurke", "Sagengestalt", "Magier"]	COMMON	AMETHYST	2	True	0	4	1	["Herausfordern"]	1 TFC DE 38/204	Herausfordern +2 (Während dieser Charakter herausfordert, erhält er +2.)	Enchantée. Darf ich mich vorstellen: Dr. Facilier.	38	Grace Tran
Dr. Facilier, Bemerkenswerter Gentleman	1	ca3512f4dfa95a03169c5a670a4c91a19b3077b4	Character	["Schurke", "Sagengestalt", "Magier"]	RARE	AMETHYST	3	True	2	4	1	[]	1 TFC DE 39/204	TRÄUME WERDEN WAHR Jedes Mal, wenn du ein Lied ausspielst, darfst du dir die obersten 2 Karten deines Decks anschauen. Lege 1 davon auf dein Deck und die andere unter dein Deck.		39	Cam Kendell
Elsa, Amtierende Königin	1	af3e133428b9e25c55bc59fe534248e6a0c0f17b	Character	["K\u00f6nigin", "Magierin", "Sagengestalt", "Heldin"]	COMMON	AMETHYST	4	True	4	4	1	[]	1 TFC DE 40/204		Ich wusste gar nicht, wozu ich im Stande bin.	40	Duyen Nguyen / Aubrey Archer
Elsa, Eiskönigin	1	761f22b2c1593d0bb87e0b606f990ba4974706de	Character	["K\u00f6nigin", "Traumgestalt", "Magierin", "Heldin"]	UNCOMMON	AMETHYST	3	True	2	3	1	[]	1 TFC DE 41/204	EINFRIEREN Erschöpfe einen gegnerischen Charakter deiner Wahl.	Durch magische Tinte erschaffen, fand sich Elsa in einer völlig neuen Welt. Zum Glück funktioniert Eis überall gleich.	41	Nicholas Kole
Elsa, Magie des Winters	1	92cfceb39d57d914ed8b14d0e37643de0797ae56	Character	["K\u00f6nigin", "Magierin", "Heldin", "Flutgestalt"]	LEGENDARY	AMETHYST	8	False	4	6	3	["Gestaltwandel"]	1 TFC DE 42/204	Gestaltwandel 6 (Du kannst 6 zahlen, um diesen Charakter auf einen deiner Elsa-Charaktere auszuspielen.) EISESKÄLTE Wenn du diesen Charakter ausspielst, erschöpfe bis zu 2 Charaktere deiner Wahl. Sie werden zu Beginn ihres nächsten Zugs nicht bereit gemacht.	Eis ist stärker, als du denkst.	42	Matthew Robert Davies
Abschaum, Ursulas Spion	1	0286dd552c9bea9a69ecb3759e7b94777635514b	Character	["Verb\u00fcndeter", "Sagengestalt"]	RARE	AMETHYST	5	False	3	4	2	["Rasant"]	1 TFC DE 43/204	Rasant (Dieser Charakter kann im selben Zug herausfordern, in dem er ausgespielt wird.) FLINK UND HINTERHÄLTIG Deine Meerschaum-Charaktere erhalten Rasant.	Wir kennen jemanden, der dir helfen kann … zu einem bestimmten Preis.	43	Luis Huerta
Dschafar, Hüter der Geheimnisse	1	98fbc42faedc02492397cb5962ea3a3ffc0a9243	Character	["Schurke", "Traumgestalt", "Magier"]	RARE	AMETHYST	4	True	0	5	2	[]	1 TFC DE 44/204	VERSTECKTE WUNDER Dieser Charakter erhält +1 für jede Karte auf deiner Hand.	Es gibt mehr als einen Weg, um Geheimnisse zu verbergen.	44	Marcel Berg
Dschafar, Hinterhältiger Hexer	1	fb644351560d8296fe6da332236b1f8d61b2828a	Character	["Schurke", "Traumgestalt", "Magier"]	COMMON	AMETHYST	4	True	2	5	1	["Herausfordern"]	1 TFC DE 45/204	Herausfordern +3 (Während dieser Charakter herausfordert, erhält er +3.)	Genug mit der Herumschleicherei. Es ist an der Zeit, diesem jämmerlichen Sultan zu zeigen, wozu ein Zauberer fähig ist.	45	Jake Parker
Meerschaum, Ursulas Spion	1	fe2ef495a1152561572949784c16bf23abb28057	Character	["Verb\u00fcndeter", "Sagengestalt"]	COMMON	AMETHYST	4	True	3	3	1	["Wendig"]	1 TFC DE 46/204	Wendig (Nur Charaktere mit Wendig können diesen Charakter herausfordern.) FIES UND GLITSCHIG Deine Abschaum-Charaktere erhalten Wendig.	Wir können dir helfen, alles zu bekommen, was du willst …	46	Brian Weisz
Zauberbesen, Wasser marsch!	1	827bfc458708f0b442009c9c9836f7e4b65557fb	Character	["Traumgestalt", "Besen"]	COMMON	AMETHYST	2	True	2	2	1	[]	1 TFC DE 47/204	FEGEN Wenn du diesen Charakter ausspielst, darfst du 1 Karte deiner Wahl aus einem Ablagestapel zurück in das zugehörige Deck mischen.	In der mächtigen Geschichtenschmiede, bekannt als das Große Illuminarium, gibt es immer was zu tun.	47	Dav Augereau / Giulia Riva
Malefiz, Auf der Lauer	1	64e095fe763fc62418378753f9402623bea9e227	Character	["Magierin", "Traumgestalt", "Schurkin"]	RARE	AMETHYST	1	False	1	1	2	[]	1 TFC DE 48/204		Man darf diese Dinge nicht überstürzen, sonst könnte der beste Plan ins Leere laufen.	48	Grace Tran
Malefiz, Hexerin	1	2e01e17467891f7c933dbaa00e1459d23db3fe4f	Character	["Magierin", "Sagengestalt", "Schurkin"]	COMMON	AMETHYST	3	True	2	2	1	[]	1 TFC DE 49/204	WIRKE MEINEN ZAUBER! Wenn du diesen Charakter ausspielst, darfst du 1 Karte ziehen.	Du wagst es, mich herauszufordern? Du Narr! Meine Magie ist mächtiger, als du es dir nur vorstellen kannst!	49	Valerio Buonfantino
Marshmallow, Hartnäckiger Hüter	1	e1822db470e60d090affd0956d743cb0e7cdf113	Character	["Verb\u00fcndeter", "Sagengestalt"]	SUPER	AMETHYST	6	False	5	5	1	[]	1 TFC DE 50/204	LANGLEBIG Wenn dieser Charakter durch eine Herausforderung verbannt wird, darfst du diese Karte zurück auf deine Hand nehmen.	Hey! Wir haben gerade über dich gesprochen. Natürlich nur Gutes, nur Gutes. – Olaf	50	Kendall Hale / Anh Dang
Micky Maus, Eigenwilliger Zauberer	1	b7eb6c689c037217079766fdb77c3bac3e51cb4c	Character	["Magier", "Traumgestalt"]	SUPER	AMETHYST	4	True	3	4	2	[]	1 TFC DE 51/204	LEBENDIGE BESEN Du zahlst 1 weniger, um Besen auszuspielen. UNERMÜDLICHE ARBEITER Jedes Mal, wenn einer deiner Besen durch eine Herausforderung verbannt wird, darfst du jene Karte zurück auf deine Hand nehmen.	Immer für eine saubere Sache zu haben.	51	Nicholas Kole
Olaf, Freundlicher Schneemann	1	a9334987ece78b6fe8bf130ef00b74847c1d3da6	Character	["Verb\u00fcndeter", "Sagengestalt"]	UNCOMMON	AMETHYST	1	True	1	3	1	[]	1 TFC DE 52/204		Ich bin Olaf und ich liebe Umarmungen.	52	Giulia Riva
Pascal, Rapunzels Begleiter	1	c5b76da3e608d34edb07244cd9b875ee86906328	Character	["Verb\u00fcndeter", "Sagengestalt"]	UNCOMMON	AMETHYST	1	True	1	1	1	[]	1 TFC DE 53/204	TARNUNG Dieser Charakter erhält Wendig, solange du mindestens einen weiteren Charakter im Spiel hast. (Nur Charaktere mit Wendig können diesen Charakter herausfordern.)	Ein wahrer Freund ist immer für dich da, ob du ihn sehen kannst oder nicht.	53	Brian Weisz
Rafiki, Geheimnisvoller Weiser	1	80e28a51cbc26fa4bd34938c5e593b36146f5e0c	Character	["Traumgestalt", "Magier", "Mentor"]	UNCOMMON	AMETHYST	3	False	3	3	1	["Rasant"]	1 TFC DE 54/204	Rasant (Dieser Charakter kann im selben Zug herausfordern, in dem er ausgespielt wird.)	Die Vergangenheit kann wehtun. Aber wie ich es sehe, läuft man entweder davon oder … man lernt davon.	54	Giulia Riva
Sven, Offizieller Eislieferant	1	8effee409c625e1a2d8f5033631840e6ce1dcb64	Character	["Verb\u00fcndeter", "Sagengestalt"]	UNCOMMON	AMETHYST	6	True	5	7	1	[]	1 TFC DE 55/204		Achtung, Rentier im Anflug! – Kristoff	55	Jared Nickerl
Die Königin, Boshaft und eitel	1	54ceb91256e8190e474aa752a6e0650a2df5ba37	Character	["Sagengestalt", "Schurkin", "K\u00f6nigin"]	SUPER	AMETHYST	5	True	4	5	1	[]	1 TFC DE 56/204	HÖRE MICH! Ziehe 1 Karte.	Erhabene Schönheit gepaart mit unvergleichlicher Gerissenheit. Besteht noch Zweifel, wer die Schönste ist?	56	Matthew Robert Davies
Mme. Kommode, Belles Vertraute	1	9109c85a45b703f87f1413a405549a2cea9ab556	Character	["Traumgestalt", "Verb\u00fcndete"]	COMMON	AMETHYST	3	True	3	4	1	[]	1 TFC DE 57/204		Wenn man einfach Haute Couture besitzen muss.	57	Giulia Riva
Naseweis, Peter Pans Verbündete	1	667be543b02294b7624119adc3a725473df39885	Character	["Sagengestalt", "Fee", "Verb\u00fcndete"]	COMMON	AMETHYST	5	False	3	3	2	["Wendig"]	1 TFC DE 58/204	Wendig (Nur Charaktere mit Wendig können diesen Charakter herausfordern.) LOYAL UND HINGEBUNGSVOLL Deine Peter-Pan-Charaktere erhalten Herausfordern +1. (Während sie herausfordern, erhalten sie +1.)		58	Adrianne Gumaya
Ursula, Machtgierig	1	5a5b0f9b7d3f8fc84c3cef8fd8efaaa6c70d75ab	Character	["Magierin", "Sagengestalt", "Schurkin"]	LEGENDARY	AMETHYST	7	False	2	8	3	[]	1 TFC DE 59/204	DAS IST ZU EINFACH! Wenn du diesen Charakter ausspielst, verlieren alle gegnerischen Mitspielenden je 1 Legende. Du darfst für jede auf diese Weise verlorene Legende 1 Karte ziehen.	Die erste Regel des Schurken-Daseins: Wenn du böse sein willst, musst du Stil haben.	59	Simangaliso Sibaya
Isma, Alchemistin	1	e6c3dd630428fd54834172b8fd2735fed9416da4	Character	["Magierin", "Traumgestalt", "Schurkin"]	COMMON	AMETHYST	2	True	2	2	1	[]	1 TFC DE 60/204	DU BIST ENTSCHULDIGT Jedes Mal, wenn dieser Charakter erkundet, schaue dir die oberste Karte deines Decks an. Lege sie anschließend entweder auf dein Deck oder unter dein Deck.	Wenn ich deine Meinung will, werde ich sie dir sagen!	60	Hadjie Joos
Zeus, Gott der Blitze	1	6c1e671f9af5b46d9c1a52067bdf0e53685674f7	Character	["Gottheit", "Sagengestalt"]	RARE	AMETHYST	4	False	0	4	2	["Herausfordern", "Rasant"]	1 TFC DE 61/204	Rasant (Dieser Charakter kann im selben Zug herausfordern, in dem er ausgespielt wird.) Herausfordern +4 (Während dieser Charakter herausfordert, erhält er +4.)	Ein kleiner Blitz löst eine ganze Menge Probleme.	61	Koni
Das meistbeirrende Spiel	1	511a418e72591eb7e33f703f04c3fa16df6c90bd	Action	[]	UNCOMMON	AMETHYST	1	False				[]	1 TFC DE 62/204	Schicke einen Charakter oder Gegenstand, der 2 oder weniger kostet, auf die zugehörige Hand zurück.	Hab keine Angst davor, deinen Verstand hin und wieder verwirren zu lassen.	62	Kendall Hale
Einfrieren	1	a17554a0d2b15a664c0e73900184544f19e70227	Action	[]	COMMON	AMETHYST	2	False				[]	1 TFC DE 63/204	Erschöpfe einen gegnerischen Charakter deiner Wahl.	Es wird Zeit für eine Abkühlung.	63	Cristian Romero
Freunde im Schattenreich	1	c66c65175fecc3103b3b587be9b5b230889c8628	Action	["Lied"]	COMMON	AMETHYST	3	True				[]	1 TFC DE 64/204	(Du kannst einen Charakter, der 3 oder mehr kostet, , damit er dieses Lied kostenlos singt.) Ziehe 2 Karten.	In den Karten, den Karten, in den Karten steht …	64	Amber Kommavongsa
Wer bin ich?	1	2a459380709e2fe4ac2dae5733c73225ff6cfee1	Action	["Lied"]	UNCOMMON	AMETHYST	1	True				[]	1 TFC DE 65/204	(Du kannst einen Charakter, der 1 oder mehr kostet, , damit er dieses Lied kostenlos singt.) Schaue dir die obersten 3 Karten deines Decks an. Lege sie in beliebiger Reihenfolge zurück auf dein Deck.	Wann zeigt mir mein Spiegelbild, wer ich wirklich bin?	65	Kevin Hong
Wunderspiegel	1	59129aacfb6cebbe2c52f30ef3424209f7252e82	Item	[]	RARE	AMETHYST	2	False				[]	1 TFC DE 66/204	SPRICH! Ziehe 1 Karte.	Was wollt Ihr wissen, oh Königin?	66	Andrew Trabbold
Ursulas Kessel	1	4d89d294cd4ca9f2ca57dc24a53ffb3ef5303122	Item	[]	UNCOMMON	AMETHYST	2	False				[]	1 TFC DE 67/204	BLICKE IN DIE TIEFE Schaue dir die obersten 2 Karten deines Decks an. Lege 1 davon auf dein Deck und die andere unter dein Deck.	Perfekt, um Tränke zu brauen und Stimmen zu stehlen.	67	Oleg Yurkov
